id,store_id,is_online,checked_at,response_time_ms,error_message
99,3791,t,2025-08-12 09:00:41.466947,14404,
100,3792,t,2025-08-12 09:00:59.283805,16139,
101,3793,t,2025-08-12 09:01:12.089449,11029,
102,3794,t,2025-08-12 09:01:21.373738,7554,
103,3795,t,2025-08-12 09:01:31.865091,8820,
104,3796,t,2025-08-12 09:01:41.238328,7585,
105,3797,t,2025-08-12 09:01:55.79286,12953,
106,3798,t,2025-08-12 09:02:07.781792,10202,
107,3799,t,2025-08-12 09:02:17.396411,7928,
108,3800,t,2025-08-12 09:02:30.88846,11795,
109,3783,t,2025-08-12 10:00:02.923493,516,
110,3784,t,2025-08-12 10:00:06.395182,1293,
111,3785,t,2025-08-12 10:00:08.536513,497,
112,3786,t,2025-08-12 10:00:10.532326,506,
113,3787,t,2025-08-12 10:00:12.606284,475,
114,3788,t,2025-08-12 10:00:14.810173,594,
115,3789,t,2025-08-12 10:00:17.94057,1498,
116,3790,t,2025-08-12 10:00:31.407978,11081,
117,3791,t,2025-08-12 10:00:43.822201,10588,
118,3792,t,2025-08-12 10:00:56.310295,10835,
119,3793,t,2025-08-12 10:01:06.923056,8705,
120,3794,t,2025-08-12 10:01:20.128275,11588,
121,3795,t,2025-08-12 10:01:32.398685,10630,
122,3796,t,2025-08-12 10:01:42.598015,8463,
123,3797,t,2025-08-12 10:01:54.713682,10413,
124,3798,t,2025-08-12 10:02:07.007347,10517,
125,3799,t,2025-08-12 10:02:18.318122,9651,
126,3800,t,2025-08-12 10:02:28.416082,8379,
127,3783,t,2025-08-12 11:00:01.360054,496,
128,3784,t,2025-08-12 11:00:03.776699,520,
129,3785,t,2025-08-12 11:00:06.430626,879,
130,3786,t,2025-08-12 11:00:08.456386,505,
131,3787,t,2025-08-12 11:00:10.876359,609,
132,3788,t,2025-08-12 11:00:14.055895,606,
133,3789,t,2025-08-12 11:00:16.140447,584,
134,3790,t,2025-08-12 11:00:28.955067,10306,
135,3791,t,2025-08-12 11:00:46.556316,15254,
136,3792,t,2025-08-12 11:01:02.934705,14548,
137,3793,t,2025-08-12 11:01:14.142907,9373,
138,3794,t,2025-08-12 11:01:25.931049,9974,
139,3795,t,2025-08-12 11:01:36.862622,9114,
140,3796,t,2025-08-12 11:01:47.651089,9171,
141,3797,t,2025-08-12 11:02:05.35533,15284,
142,3798,t,2025-08-12 11:02:15.441075,8478,
143,3799,t,2025-08-12 11:02:36.251534,19148,
144,3800,t,2025-08-12 11:02:51.94595,13904,
145,3783,t,2025-08-12 12:00:03.063418,807,
146,3784,t,2025-08-12 12:00:05.985913,487,
147,3785,t,2025-08-12 12:00:08.364898,603,
148,3786,t,2025-08-12 12:00:10.972414,802,
149,3787,t,2025-08-12 12:00:13.361224,664,
150,3788,t,2025-08-12 12:00:16.786175,525,
151,3789,t,2025-08-12 12:00:19.196584,600,
152,3790,t,2025-08-12 12:00:29.173592,7675,
153,3791,t,2025-08-12 12:00:41.768712,10423,
154,3792,t,2025-08-12 12:00:53.669944,10239,
155,3793,t,2025-08-12 12:01:05.152488,9664,
156,3794,t,2025-08-12 12:01:20.168728,13214,
157,3795,t,2025-08-12 12:01:33.3653,11532,
158,3796,t,2025-08-12 12:01:42.867473,7905,
159,3797,t,2025-08-12 12:01:55.173327,10655,
160,3798,t,2025-08-12 12:02:08.356129,11324,
161,3799,t,2025-08-12 12:02:20.867569,10864,
162,3800,t,2025-08-12 12:02:32.858227,10239,
163,3783,t,2025-08-12 13:00:01.549853,587,
164,3784,t,2025-08-12 13:00:05.347821,797,
165,3785,t,2025-08-12 13:00:08.249761,598,
166,3786,t,2025-08-12 13:00:11.246818,983,
167,3787,t,2025-08-12 13:00:13.454135,475,
168,3788,t,2025-08-12 13:00:15.771942,504,
169,3789,t,2025-08-12 13:00:17.946755,661,
170,3790,t,2025-08-12 13:00:28.554548,8464,
171,3791,t,2025-08-12 13:00:39.348035,8801,
172,3792,t,2025-08-12 13:00:49.560482,7890,
173,3793,t,2025-08-12 13:01:01.734182,10164,
174,3794,t,2025-08-12 13:01:17.236189,13805,
175,3795,t,2025-08-12 13:01:27.091736,7838,
176,3796,t,2025-08-12 13:01:37.365907,8588,
177,3797,t,2025-08-12 13:01:49.971063,10942,
178,3798,t,2025-08-12 13:01:59.052573,7345,
179,3799,t,2025-08-12 13:02:12.875213,12156,
180,3800,t,2025-08-12 13:02:25.139436,10543,
181,3783,t,2025-08-13 15:02:20.035899,620,
182,3784,t,2025-08-13 15:02:22.534897,618,
183,3785,t,2025-08-13 15:02:25.130677,630,
184,3786,t,2025-08-13 15:02:27.401889,594,
185,3787,t,2025-08-13 15:02:30.105528,614,
186,3788,t,2025-08-13 15:02:32.326546,518,
187,3789,t,2025-08-13 15:02:35.22453,1204,
188,3790,t,2025-08-13 15:03:01.543153,24294,
189,3791,t,2025-08-13 15:03:12.929966,9861,
190,3792,t,2025-08-13 15:03:33.33219,18786,
191,3793,t,2025-08-13 15:03:58.837818,23461,
192,3794,t,2025-08-13 15:04:17.197608,16667,
193,3795,t,2025-08-13 15:04:31.423001,11835,
194,3796,t,2025-08-13 15:04:52.22905,19213,
195,3797,t,2025-08-13 15:05:05.830222,12048,
196,3798,t,2025-08-13 15:05:18.019445,10595,
197,3799,t,2025-08-13 15:05:34.203738,14433,
198,3800,t,2025-08-13 15:05:48.755091,12962,
199,3783,t,2025-08-15 04:46:33.320466,800,
200,3784,t,2025-08-15 04:46:36.422483,1109,
